sample_id,caption_a,caption_b,expected,winner_source,image_description,image_uncanny_description
915bf84b983d6fce5c5fcfd413bcb2ca,"And no, this policy does not apply to the bonuses.",Let's continue this discussion over a hot barrel of coffee.,B,official_winner,Two men are sitting in office. The man behind the desk has a gigantic pencil sharpener on one side of his desk and a cup of gigantic pencils on the other side.,The pencils and pencil sharpener are both abnormally large.
a34b27c2650ed62378a45516b4153407,I thought you said it wouldn't need much attention.,"Sheriff Arpaio, we're joggers, not Mexicans.",A,official_winner,A man and a woman are running through the desert. There is a cactus running behind them.,Cacti are stationary plants and cannot move.
72650bf75c98504530152c15807ed1ab,It looks a little bare.,Let’s flip this house.,B,official_winner,"This is a very cluttered room. The dog is on the floor looking up at the two people on the sofa, who are somehow on the ceiling.",The room is very cluttered and the people are on the ceiling.
e064562f557afe096ca650393eeee6b0,"Let me guess, you didn't invent the wheel either.","Once they're extinct, we'll take the credit.",A,official_winner,Two cavemen catch a prehistoric reptile doing cave paintings. They look upset while the reptile looks happy.,Reptiles cannot draw because they lack the opposable thumbs to draw.
6af1642e0e0ceabe97cd845b7d052c1a,"Where there's fire, I see a smoker.",Have you tried exorcising?,B,official_winner,A doctor is with a patient. The doctor has a note that is on fire.,The doctor's note is on fire and not burning him.
0824c4912fac4a80e11541f648b7fb25,We don't suffer fools lightly,How soon can you start?,B,official_winner,"A man is being interviewed for an office job. As he is being interviewed in a glass cubical, three men with weapons are chasing out a fourth person.","It's unusual because the man is interviewing for a job, and that job is probably the job the person being chased out used to hold."
b37431a02891a1db699407a197186c05,It's in keeping with our new transparency policy.,The overhead on the ship just got to be too much.,A,official_winner,There is a line of three people in the bank waiting to see the bank teller. The bank teller is a pirate and he has a parrot sitting beside him.,A pirate is working in the bank rather than being out on the ocean.
71770a495456754ef3c7b3590bdd24e2,"If they were seeking peace, they would have sent olive branches.",This isn't what we had in mind when we suggested a wall.,A,crowd_winner,A king is sitting on his throne. Various plants surround him. He is addressing a knight.,Cacti aren't native to anywhere that has had a king.
5f1a6f882111f161a8d61ad4c5760209,They're so much uglier in person.,I listed our freezer on Airbnb.,B,crowd_winner,A couple sit inside a living room relaxing.  Outside the window are dozens of snowmen looking inside the window.  The woman appears slightly nervous about this,It's unusual to see such a large number of snowmen packed in such a tight area
d275f4f87b345ae3ed737b44ab42cbef,"Miss Jones, send in the extra paperweights.",Stop! Stop! I said to turn the air down.,A,official_winner,A desk and man and a bunch of papers are in the air. It is inside an office.,There is a man in the air with furniture. Something happened like an earthquake to cause that.
925305a40f43464cb8b919d6b7f798e8,"Sorry for the wait, but it's been like Grand Central Station in here.",Might I suggest the fish? It pairs well with the fumes from the 12:37.,A,official_winner,A man and a woman are dining at a subway station. They're looking at menus. The waiter stands nearby.,The table and waiter are out of place in a subway station.
9f5084a7724d540327fcd22d2efdfc03,"When you're best in show, you can have nice clothes, too.",I'm sorry son. I reevaluated my priorities in 2020.,A,official_winner,There is a man in a t-shirt and jeans who is holding hands with his son on the left and a dog wearing human clothes on the right. The dog is standing straight up and looking at the little boy who looks angry. The man is talking to the little boy.,It is unusual that a man is holding hands with a dog who is wearing clothes and walking upright.
0e06b1f659a84079cd4fae64745e243d,"Sorry, but I have to play it where it lies.","No, a swing doctor isn't covered under Obamacare.",A,official_winner,A bunch of surgeons are in an OR. They're getting ready for surgery when a man walks in carrying a golf bag.,A golfer doesn't belong in an OR.
a7aa06f827be2025a16125a9387d6ae9,"On thy left, fair maiden.",I have a terrible horse allergy.,A,official_winner,Two people are riding bicycles down a city road. One rider is in a suit of armor.,One of the riders is wearing a medieval suit of armor.
c2589b7469f30e0b7d72a18e63fd5795,Sometimes Jack is better in the box,How's my pallor coming along?,B,official_winner,A woman is relaxing on the beach. A man has popped his head out of a box. The woman is enjoying the sun.,There is a man in a box on the beach.
65e55cfacfe2cb1eb971b80eb1b3a3fb,Couldn't we just for once have a salad.,Am I in your dream or are you in mine?,B,official_winner,There is a man sitting in a tree. A bird is next to him with a worm in its mouth.,"The bird is gigantic, or the man is very tiny."
48f937c2c0da40b429cf71ba9ab001c6,Why am I always the one who needs to change?,And how long have you felt like a wallflower?,A,crowd_winner,A chameleon is at a therapist office . It tries to peak at the therapist's notes.,Chameleons do not go to therapy. Therapy is for humans.
5f3853b4a27835662f6fb54d3aceccd3,Dress for the job you have.,I never thought we'd need a lawyer.,A,official_winner,A bunch of slaves are on a boat steering it. A man in a business suit is next to them helping out.,There is a man in a business suit on a ship with slaves steering a boat paddle.
fe74eb52e8423e609ec9de8c6b6bf658,I think we'd better call it a life.,Watch out for one with a saw.,B,official_winner,People are ice fishing. A bunch of sharks are in the ice holes around them.,There are sharks in the ice holes. Sharks are not in these areas since it's too cold.
f94eb4a3c13b145908cd650e6df55163,"Which sounds faster: ‘clip-clop, clip-clop’ or ‘clippety-clop’?","This whole ""virtual"" thing is getting completely out of hand.",A,official_winner,Some jockeys are in a race. They are using fake horses.,The jockeys are using horse heads on sticks like children.
b4240b0a2416a723508f4aa899b991d0,Why can't you just learn a heavier instrument?,I didn't say I would help. I said I'd accompany you.,B,official_winner,A man is outside of his house in the winter and he is shoveling snow. His wife is beside him playing a guitar as he shovels.,A woman is outside in the freezing winter and playing a guitar for her husband as he works.
4c4306d6889dbfba07a5d15f43446391,What happened to your last partner?,I usually charge for dance lessons.,A,official_winner,A matador and a bull are in an arena. They are dancing together.,Matadores and bulls are supposed to fight one another.
7990eb02da28547e6679085355ea4fc5,Wake up! You're missing the worst part.,This is NOT the same as dinner with my mother.,A,official_winner,Some people are on a roller coaster ride. Some of them are screaming.,One woman in front is very calm.
6bddaa05ab9f744bd26cf1c409950b52,"Itís a 379 par 4 with a few hazards, but the real trouble is the slope of the green","I support our troops as much as the next guy, but do we have to let them play through?",B,official_winner,"Two golfers are carrying their golf bags through a course. Down the hill, many tanks are lined up.",There are a bunch of tanks on a golf course.
c4b1d54a5d4f1159924bc64372e768bb,"Don't worry, she's just the public defender.",I hate it when you bring work home.,B,official_winner,This is a courtroom. A woman in a robe comes out of the bottom of the judge's podium. She is very angry.,There is someone living in a courtroom.
37575f5bee08776c393598a6152d7408,I'm reducing carbon emissions.,He's lucky I didn't rear end him.,B,crowd_winner,A knight has jousted a car door. A policeman is writing him a ticket.,Knights do not exist in the time of police and cars.
bc949cf4e4e792ed21910c309b46f203,What a delightful coincidence. I'm also recently single.,....and this was just day one of the new administration.,A,crowd_winner,A man and woman are sitting on what looks to be stones in a city that appears to be destroyed. There is smoke and damaged building in the background. Both are looking at each other with confused look on their face.,Both man and woman are dressed well and the city in the background is completely destroyed. The destruction in the background does not seem to worry them.
ebdaa655c4fcb83ed0c3955102520cdf,"On the plus side, it's a terrific example of Native American craftsmanship.","Seriously, when are you going to stop hunting with the Vice President?",A,official_winner,"There is a doctor dressed in medical attire standing and talking to a cowboy with vest and cowboy hat, seated on a patient's table. The cowboy is full of arrows protruding from his chest and back.",It is unusual for a man to be alive after being shot with so many arrows.
de5da1bf3c9eca1c3880be287e35c572,This saddest part is he's going in the wrong direction.,"In a moment of clarity, long since gone, he envisioned a mandala.",A,crowd_winner,An adult man is in a kid's sandbox. He looks drunk. Two boys stare at him.,There is an adult man in a sandbox for kids. Sandboxes are for kids.
f3ed42c42bd813db5a7d3d55ccf299ce,"When I asked Security to look for bugs in the office, I did not mean ""insects.""","When you're finished here, Spencer, we'll need you on the bridge-to-nowhere project.",B,official_winner,A man is looking through a telescope in an office at a wall. A man stares at him in the doorway.,"The man is looking through a telescope at a wall, not outside."
fbff7eecf6d3b14329a0ce5d04f95dc9,I'm drawing a line at getting a mouse as a court jester.,His videos bought this house. He deserves a little respect.,B,official_winner,A cat is crowned king as it sits on its throne. Its owners surround him with happiness.,Cats are not kings.
66d536c96e8c99079250ba1bf3f93853,"That phrase, 'giving critical support to higher-ups', in the job description was a bit misleading.","Where exactly is Bethlehem, NY? Hmmm. Off the top of my head … 42°36'N 73°50'W in Albany County.",B,crowd_winner,There are two giant heads. They each of a desk on them with an office worker working at them on computers.,There are two huge heads with desks on them and people working on them.
c2f7bd38a307c37b6fea0bf74cd2c7af,I counted way less of them in my sleep.,"It seems you promised them herd immunity, Sir.",B,crowd_winner,A bunch of sheep are standing in a field. There are two wolves in suits nearby.,The animals are standing upright like humans.
d70ad6ba85f779603b19daf243e29915,I should have jumped from a higher floor.,My autopiloted car is stuck in traffic.,A,crowd_winner,A man is relaxing on a city street. Others are going about their business and stepping on him as they pass.,A man is just laying in the middle of the sidewalk.
f3480872a057b152a8be32bc57d41a12,"Oh great, we're stuck behind a four-and-a-half-billion-year-old.","That's right, George. You never, but never, ask for directions!",A,official_winner,"There is a car traveling on the road. A huge Earth is in the road, blocking the way.",There is a huge Earth in the middle of the road.
c850c0aca97c01bcacb511ffe11ca39a,Damn. Now I'm kinda hungry.,I've never been hungrier,A,official_winner,"This takes place in a kitchen where everything is locked up tight, including the refrigerator and cupboards. There are traps and spikes covering the floor. Two people look on with inquisitive expressions.",People do not lock and set up traps in their kitchen.
b57ffd0003dffbc1301adedbed2f3b3a,"Back in my day, kids had a little respect for the law of gravity.","There, there Sonia, I'm sure it's just a phase they go through.",A,official_winner,"Two adults, possibly teachers, are walking through the halls of an elementary school. There are children walking on the walls and ceilings of the hallway, as if gravity didn't exist.","It's unusual that the children are walking on the walls and ceiling instead of being on the ground; in this scene, gravity does not exist. Furthermore, the fact that the adults are not surprised suggests, oddly, that this is not an unusual occurrence."
93abdac83240c9f0fbd83e1680133d7c,"""After a while it's like, what bees?",Are you interested in a timeshare here?,A,official_winner,A woman is looking at a tree with a beehive attached to it. There is a man's face peering out from the beehive.,It is impossible for a man to fit inside a small beehive.
6316a2c25bd5b74ce1a3872829736218,I'd hate to see the size of that chicken.,But will he lift a finger after it hatches?,B,official_winner,"A man is sitting on top of a large egg while two old ladies are looking on from a sofa. They all sit in a living, surprised by what is happening.",Men do not lay eggs especially as large as this one.
11421f3dd68b978ed410c816c55ef483,I'm going for the grilled elbows.,It says here that service is not included.,B,official_winner,"Two people are sitting in a restaurant setting.  Instead of sitting at a table, they seem to be sitting at an oven top.",It's unusual to see the tops of ovens replace tables at a restaurant
eba3f4c641a72eb76e8a3ca4e48b36c6,"On second thought, it's more of a sandals day.",Our intended merger turned out to be an acquisition.,A,official_winner,"A woman is sitting on a couch reading. A man is entering the room naked, with only a briefcase covering him.",There is a naked man who was walking around in public.
c60f5dfd3d7ff4d000594eaddcd7b2ad,I finally know what it means to be led astray,Could really use some rain on this parade.,B,crowd_winner,There is a marching band conductor leading two starving men through the desert. The  men are on the ground crawling.,There is a marching band leader in the middle of nowhere.
b7ad5fb7fec78f624c6c4ddbfde45f33,"If he wakes up, you can give him a Martini.",Weaning has been much harder that I expected.,A,official_winner,There are two women in a bedroom standing together looking down at a baby's crib where a man dressed in a suit lays asleep in the fetal position sucking his thumb.,It is unusual for a man to sleep in a crib while sucking his thumb.
e89b029ce7388704c1f708b2dda6f0b3,He found some rosin in his soup.,This is why I don't need cable TV.,B,official_winner,"A chef is trying to murder another chef with knives n a kitchen. A man is playing music on the counter, and there is a large fish on the floor. Two waiters are talking amongst themselves.",There is a murder taking place. A giant fish is on the floor. A man is playing a large cello on the counter.
9b4907b5cd906120b0c4b4ea866e56ab,We are about to change to real time.,You don't need more memory.,B,official_winner,An old elephant is pointing his cane at a young elephant. The young elephant is on the floor at the computer.,There are elephants in a house.
dbbfdc06adec6a99659092df1313d951,"This isn't what I meant when I said, ""Put on a robe.""","On the bright side, I've got some good news for the Prince.",B,official_winner,A king wearing a crown and robes is in a doctor's office. He is talking to a doctor.,A king is in a doctor's office. Kings don't need to do this since they have personal doctors who come to the castle.
8350bf0bfbd68d6792a92651666569bd,"Actually, the preferred term is ‘adventure surgery’.","You must forgive my colleague, the pressure gets to him.",A,official_winner,A man is in bed at a hospital. A man in a scuba suit is near the bed and the doctor talking to the man in bed.,There is a man in a scuba suit near the bed at a hospital near a doctor.
188cdd1ed9d053ee5e1d11d1db9b115f,Bet you can't guess where my pet monkey's hiding.,"What's more important, youthful hair or F.D.A. approval?",B,official_winner,Two men sit in a bar with drinks on the counter. The man on the right appears to have a furry tail.,The men on the right appears to have a tail which is furry.
2e44b7c292519432049e9f386ee482d6,How do we drop a dollar in his hat?,A group of them is called a band.,B,official_winner,A bird is in a tree wearing a hat and playing the guitar in a nest. Two birdwatches watch him from below.,The bird is playing the guitar. Birds can't do that.
1737dd9434d0235bac2d4d6abf16e245,"Sorry Ted, but what part of ""steer clear of that witch Rhonda"" didn't you understand?",We're searching for rats that escaped from the subway's Track 23 dining room kitchen.,B,crowd_winner,Two men are carrying a big snake into a building. Another man approaches them with a paper in his hand.,Snakes don't get that big.
2d8f9f11c6488c951f7da03040dff9e5,"Sorry, I drifted off there. What did you say after ‘I've been shot’?",I never should have given Julia that chalk for her birthday.,A,official_winner,"A therapist is talking to a man on a couch. The man is an outline of a man, like at a crime scene.",There is an outlined man on the sofa at a therapy office.
a5a37b421bd32bd334a3f93f1d0de6f7,You think this is weird? My sister looks like a soup can.,I don't have to worry about predators near modern art museums.,A,official_winner,Two butterflies are standing on the ends of branches facing each other. The wings of the one on the right resemble a stained glass window. They appear to be having a conversation.,The wing on the butterfly to the right is a pattern that is very unusual for a butterfly. It is square blocks such as what you might see in a stained glass window. It is uncommon for butterflies to talk to one another.
40b5844cbe143d3a6d0436f73afe1bf0,I thought he wanted to be shredded.,This cubicle has bad Feng Shui!,A,official_winner,"Two men in suits are walking by a cubicle.  Inside the cubicle is a small coffin filled with dirt, with a tombstone at the front.",It's unusual to see coffins in office workplaces
d82c90f087557e4c841a3faebc5a883a,"Oh I'm sorry, maybe I'd move faster if SOMEONE didn't bite my leg off.","After having 'caught' his white whale, Ahab quickly settled into domesticity.",A,crowd_winner,"A man dressed like an Amish person is pushing a shopping cart around in a grocery store, shopping for groceries.  Behind him stands a whal, doing the same thing.","It's unusual to see a man in amish clothing shopping in a supermarket, and it's considerably more unusual to see a giant whale shopping for groceries"
77def16f35f9aae99adb3728edc1245f,"I can hear the wife now: ""You caught it, you clean it.""",Finally! People ask me all the time for a light.,A,crowd_winner,Two men are fishing. One man caught a chandelier.,There is a chandelier on the man's fishing rod.
c5f165ce563097c2fc5b88ea24a4aa1b,It cuts down on the yelling and splashing.,I'm making the Flindermans next door pay for it.,A,official_winner,There is a huge beachball in a pool. People are outside in swimsuits looking at it.,There is a huge beach ball filling up an entire pool.
48bbbd2c976bf7d5d639ca25a429820a,Must .... kill ... dog.,Must....return....new....puppy...,B,crowd_winner,A cat is mind controlling its owner into sleep walking. They are in the kitchen and the cat is using the power of its eyes to mind control.,Cats do not have the power to mind control humans.
33d507067c156aae4902fb6af8ff239d,But how will we raise the kids?,I'm really regretting this tatoo.,A,official_winner,Two butterflies are standing on the ends of branches facing each other. The wings of the one on the right resemble a stained glass window. They appear to be having a conversation.,The wing on the butterfly to the right is a pattern that is very unusual for a butterfly. It is square blocks such as what you might see in a stained glass window. It is uncommon for butterflies to talk to one another.
6d83e302cd6e8eb6a3dcba3383aa692f,"No, sir! I don't think they'll be able to recognize you.","Sir, I believe the announcement was actually 'prepare for lunch.'",B,crowd_winner,An usher is opening the elevator door. An astronaut is about to get off.,"A man is dressed as an astronaut on earth, even though there is oxygen."
b647311b348256860af264eac4649bd3,"Regime change is never easy, dear.",I told you not to claim three.,A,official_winner,A man and a woman are sitting down in a living room. She is reading a book and he is drinking from a cup. There are army men outside the windows with tanks in the background.,There are military personnel looking into the windows.
5b4479ca0c97f7a77111875a33d295bc,It's the closest you'll get to Manhattan in your price range.,And it has lovely views of mass extinction on planet Earth.,A,official_winner,A realtor is showing a house to a couple. Outside you can see the stars and planets. The house seems to be in space.,"There are planets visible outside. They are huge and that is not possible from Earth, so the house is probably in space."
a029b059b8d3bb810a717c680bc81132,I counted way less of them in my sleep.,"It seems you promised them herd immunity, Sir.",B,crowd_winner,A bunch of angry ship are lined up staring at some wolves. The wolves are in business suits. They are talking.,The wolves are in suits. Wolves don't wear suits.
4531602efad352eda2c163f5b0abe219,Play the wedge.,How’s my wife doing?,B,official_winner,There is an operation taking place in a hospital room. Four doctors are involved in the operation. A man walks into the room holding a set of golf clubs and the doctors angrily look at him.,A golfer holding a set of golf clubs is in a hospital and managed to walk into an operating room.
bf13241c82425588b64fcc8354aaadb3,When I asked for the Complete Works of Shakespeare for my birthday this is not what I had in mind.,Then maybe you should just tell me what you want for your birthday instead of saying you don't care.,B,official_winner,There is a man and woman on a couch. Monkeys are all over the room and on them.,There are monkeys in a house.
6ea7ded87532460d7d403944081cab1a,The Crazy Clown Club has moved to DC.,Sorry -- none of our hours are happy anymore.,B,official_winner,A clown is sitting at a bar.  A bartender is facing him.,One normally doesn't find clowns in full makeup at a bar
e8dd784d58e46e2376e793fb41abda5d,"It's called a ""high five,"" ladies. I caught them doing it with the new surveillance cameras.","So that settles it. This year, instead of cooking the books, we'll bake them in a light, flaky pastry.",B,official_winner,"There is a boardroom with several people sitting at a conference table.  On one side of the table are several men seated with hands on the table.  On the other side, and at the head of the table, are several women with one hand raised.","Only women in the scene are raising their hands, while the men are watching, seemingly confused."
96dbfa95f2673376127b34beddeed8d9,"Sorry, but I have to play it where it lies.","No, a swing doctor isn't covered under Obamacare.",A,official_winner,There is an operation taking place in a hospital room. Four doctors are involved in the operation. A man walks into the room holding a set of golf clubs and the doctors angrily look at him.,A golfer holding a set of golf clubs is in a hospital and managed to walk into an operating room.
a8e9f2e931f39e2bf91246e9c41f344c,Most men drink to escape. I escape to drink.,What did you call it again? A GPS?,A,official_winner,"A prisoner is standing at a bar. A bartender is there, wiping down a glass. Behind the prisoner is a hole in the ground and he has digging tools with him.",There is a jailbird in the bar.
0e66e32051b558405b34a1d9c305aa0a,It’s an invertible.,Should we lock the doors?,A,official_winner,A car is on its top in the street. Two people stare at it outside a building. A rat is near it.,A car is on its top on the street. It's cut in half.
577104325e3ffa5ad6174d0732aed8a2,Thank goodness for random patdowns.,And the worst part is this isn't my luggage.,B,official_winner,Two men are seated on a plane. One man has a safe wrapped around him.,There is a safe-man on the plane.
34377c4f335a598974cca1919d88ece2,"Sometimes a turret is just a turret, but not here.",We discovered the Internet since you were here last.,B,official_winner,Gulliver has been trapped by many tiny people. His entire body is bound to the ground. There is a tiny dominatrix in front of him with a whip.,There was no dominatrix in the original tale of Gulliver's Travels.
c85d0cb5c63c83d2814dd86191d245a4,Don't worry. I wouldn't prescribe anything I haven't tested on myself.,"Take this referral to physical therapy, it's just at the other end of the maze.",A,official_winner,"A man is sitting in an office on his computer. He's speaking with a rat man, who is at his computer.",The man behind the desk has a rat head.
17367a960c63cca8c3e469c3c179f5ef,"Well, minimally invasive is a relative term.",The good news is all the pieces fit.,B,official_winner,A doctor is talking to a man. The man has been cut in three. He is on the table with his arms crossed.,There is a man cut in three. He shouldn't be alive.
bf7bbe81fac44bc790166c5f04f96531,Food photography has gotten to be so competitive.,"I'm glad you chose a quiet place for our first date, Greg.",A,official_winner,A waiter runs past a bunch of paparazzi to get inside with a pie of pizza. A couple sits together in the restaurant ignoring the commotion.,Paparazzi do not care about people delivering pizzas.
af3fcb864cc5eac803f8cf087a7988d6,Do you think they get it?,Very nice. Now do a boat.,B,official_winner,"Two people are on a deserted island. They're looking at another island, where dolphins are stranded.","There are dolphin out of the water, and they're making the formation of a palm tree."
0d8ae62bdc20fd1674f05e047240ce38,The Sierra Club is definitely going to hear about this!,"No, you’ll still be conflicted but you’ll smell better.",B,official_winner,A man is in a bath sub with scared look on his face and another man with facial hair is sitting on a couch looking towards the other man with a brush in his hand.,Two men in a bathroom with one man watching the other seems to be unusual.
e9aab00133f6a0e498abd2f6950ec65e,It gets easier the second time.,Still haven't thought of a name?,A,official_winner,"A man in a loincloth is rolling a large boulder up a mountain. Next to him is a woman, dressed normally and carrying a purse, pushing a double baby crib up the same mountain.",It's unusual to see a man pushing a boulder up a mountain. It's also unusual for a woman to push a baby crib up a mountain.  It's very unusual to see both people pushing their respective eternal burdens up a mountain at the same time.
433cc3b10f64b9c69f8023f37a4ad25c,It's helping me relate to millennials.,"No, I will not push you again.",B,crowd_winner,There are two medieval guards in the throne room of a castle. One guard is standing next to the throne with spear in hand. The other guard has a hammock set up between two columns and he is lounging in it. The guard in the hammock is talking.,It is unusual for a king's guard to be lounging in a hammock while on duty.
cbd37955fd7311ff411a44087b3527cf,Is he still back there?,This way we avoid the turnpike.,B,official_winner,There is a taxi flying through space. An alien is in it. Planets and stars are all around them.,There is a taxi flying through space with an alien. That's not possible.
e18914c372daab61922c2c687bc7f1e2,I've got plenty of sperm. Just get me some Viagra.,"Oh, hey, I almost didn't recognize you outside of work.",B,official_winner,An Amish man and a whale are standing in line at the grocery store holding carts full of groceries. The man is looking at the whale with a happy expression on his face.,There is an extremely large whale standing on its tail fin inside of a grocery store pushing a cart with groceries inside.
42d24bb60506542700f6ac8e6c86e328,I couldn't find the three-hole punch.,He's the perfect associate for a monomaniac.,A,official_winner,A man is sitting at a desk in an office. A secretary is showing in a unicorn.,Unicorns don't exist and wouldn't be found in offices.
41f8828eadc253161996d9149c900a7b,One more after this and we'll be able to meet our deductible.,My father always said you came from the wrong side of the tracks.,A,official_winner,Two bandaged men are sitting on train tracks. There is a train coming at them.,The train tracks are not a place for people to lounge.
f406f6ed444be8bb25bbe395ffc781b2,I think it's called an air B&B.,He refinanced with Fannie Mae,A,crowd_winner,"Two women are sitting outside talking. There is a man waving to them from a fence, suspended upside down in the air.",For some reason the neighbor's area is upside down.
8f4cb35a1ada1624dcd7aa0675a39c88,Let me guess: I didn't listen when you said you were going to walk the dog.,"Frankly, Sheila, I find this the most awkward part of our divorce agreement.",B,official_winner,A man and a woman are outside. They are walking a dog.,They both have a leash on the dog.
0934319425fa646e1d150424b7e4ab51,You’re right. Maybe sometimes a sea cucumber is just a sea cucumber.,"I think we'll skip the ink blot test, and go right to your mother.",A,official_winner,A man dressed up in suit is sitting on a sofa next to a larger sofa with octopus on it. Man has a pistol in his hands and looking towards the floor with confused look.,Octopus in the house with same size as human is unsusual.
d72b375b1465c838d8a4d3cfafa47e3c,Can we please anchor and ask for directions?,"You know, everyone laughed at Noah, too.",B,official_winner,Two people are in the car using paddles. They are rowing like they are in a boat.,rowing is for boats. To drive a car you need to press the gas.
201239ce9195b4c461ce0bf9d705cfb2,We save a bundle on suntan lotion.,That Dante guy didn't listen to us either...,A,official_winner,"A man is walking on the beach and his feet are buried in the sand. Around him, other people are buried up to their necks.",The man in the middle is the only one not buried up to his neck.
8fd07e4dc9f5b7a504326e4668cacf28,You shouldn't have opened that can of worms.,How come you get all the attention?,A,crowd_winner,"Two men are sitting on a park bench. One has a book, and the other is covered in birds.",Birds don't normally come that close to humans.
720c836f09615d4ae0b6ae3623064cba,You can't watch too much CNN.,Should we get rolling?,B,official_winner,On a street corner of a city people are walking down the sidewalk individually surrounded by large bubbles. In the background a woman walks her dog who also has a bubble. In the foreground a man and a woman each with their own bubble are having a conversation. The woman is talking to the man.,It is unusual for anyone to be surround by a bubble.
b5ecbf23435fce18492bd364c22f71c3,"If I start to drink too much, just pull off my lips.","She was the kind of girl that says ""tomahto.""",A,official_winner,Mr. Potato Head is at a bar. A man is taring at him.,Mr. Potato Head is in a bar. It's a kid's toy.
6bfdf233eb1306e04bbac6be99670df0,Tell me. How long have you been in furniture?,I'm afraid we need to make more cuts.,B,official_winner,A man without a head is on the desk of another man who is looking at him. They are in an office and have normal expressions on their faces.,It is not normal for someone to be headless. Humans need body parts in order to survive.
ec3751ea859b04292b126b3730e7e3ee,I know her but we were never close.,All that to cover a pimple?,A,official_winner,Two old fashioned gentleman are staring at a woman outside. She has a huge frill around her neck.,"A lady's dress frill is not that large, and is very ungainly."
cdadc5aee57ee49845f8e88d798a8df8,Its really a matter of perspective.,We'll never get to sleep tonight.,B,official_winner,Two men are holding onto a sinking boat in a cup of coffee. The seas in the coffee mug are very rough.,There is a sinking boat in a coffee cup.
12269d967f4489bc3e4fd3c41877decd,I should have hired union labor.,"Dude, Athena's gonna be pissed.",B,official_winner,"Two men, wearing medieval peasant grab, are looking at a canvas depicting a completed Colosseum. In front of them is a jumble of stones, half-assembled, that look nothing like the finished project, instead appearing to be an almost done Stonehenge.",It's unusual to imply that an English sundial was in fact an accidental construction by Italians trying to build another type of building.
c3928fd425951623e91257532a78ba38,I shoulda known. Who names a horse 'Gilligan'?,This looks like a good place to set up camp.,B,official_winner,A cowboy is stranded on an island. He is riding a horse.,A cowboy is usually found in the desert.
85ee49e2d1a4f25a213383f65af7fe0c,You seem to have one non Original Equipment Manufacturer part.,"On your way to the Republican National Convention, I see.",B,crowd_winner,A clown and mechanic are looking at a clown car. Clowns and a businessman are under the hood.,There is no way a car could fit this man people under the hood.
398bcf27ed9033aea184b1af61ef3de3,I told you the matinée wouldn't be crowded.,Ever since he invented it he keeps finding new uses.,A,official_winner,A caveman juggles fire in front of two other cavemen. The cavemen look on unimpressed.,It is not usual that people can juggle fire.
