sample_id,meta,joke_a_text,joke_b_text,expected,winner_source,image_description,image_uncanny_description
f6455161db6242ab6b39ba94707a1f53,NYCC train f6455161db6242ab6b39ba94707a1f53,"FEMA here. No, we haven't had any substantiated reports of earthquakes.",Thirty percent on car insurance is great but I'm a little busy right now.,Joke A,official_winner,A man is in his office. All the furniture and the man himself are floating in the air.,People and objects don't defy gravity like that.
8b702f358913af570fd2a7ae8150d4d6,NYCC train 8b702f358913af570fd2a7ae8150d4d6,It's mostly water weight.,Suddenly I'm essential.,Joke A,official_winner,A man is carrying the Earth. A woman in a robe watches him. She is drinking coffee.,There is a man carrying the world on his shoulders in a modern house.
3973752c6e4796ceb517501443eb0ca2,NYCC train 3973752c6e4796ceb517501443eb0ca2,"Honey, is the Tesla recharged yet?","Hamster help desk, to whom am I speaking?",Joke A,official_winner,There is a man running on a hamster wheel. He is wearing a tie.,Hamster wheels are not full size like this.
41d2247930e5a0713c36aa115cc7c0b7,NYCC train 41d2247930e5a0713c36aa115cc7c0b7,I'm telling you that's exactly what I said- minefield straight ahead.,It's not good—looks like they've got a full interpretive-dance troupe.,Joke B,official_winner,Two soldiers and a mime clown are all hiding behind a rock in a battle scene. The rock shows bullet holes and the two soldiers and mime are looking out from behind it.,It is unusual that a mime in full makeup is with the soldiers.
74e0d000ca80844a5945ea69dbad9ee4,NYCC train 74e0d000ca80844a5945ea69dbad9ee4,John asked God to reincarnate as a retiree in Florida,I guess membership does have its privileges.,Joke B,official_winner,"There are two angels watching another angel, who is carrying a golf bag with golf clubs in it and an outdoor charcoal grill.  The angels are surrounded by clouds, and the flying one is in front of large gates.",Angels typically aren't depicted with golf clubs or grills. There isn't a golf course or back yard for these items here.  Religion often presents the afterlife in a more serious way.
3a81421cb678651c0d308bfc13e68574,NYCC train 3a81421cb678651c0d308bfc13e68574,"The drinks are great, but it's a LONG walk to the cabana.",Welcome to paradise. I take it he won another term.,Joke B,crowd_winner,A man is relaxing on a small island under a palm tree. Another man with tattered clothes and a briefcase stares at him.,There is a businessman on the island with tattered clothes while another man is just relaxing and looking fine.
e9fc75461da1c27dab04f8ca13954e00,NYCC train e9fc75461da1c27dab04f8ca13954e00,Miley’s here.,He blames Hillary . . .,Joke A,official_winner,A wrecking ball is in the house with a hole in the wall. People are on the chairs doing other things and a dog is staring at the wreck.,There is a wrecking ball in a house where people are living.
a356ec125417c8db16d349d444d694eb,NYCC train a356ec125417c8db16d349d444d694eb,"No, I'm sorry. You'll need a separate remote for your DVD.","For aerobic fitness, it's our highest rated model.",Joke A,official_winner,People are at an electronics store. The man is carrying a huge TV controller. He is showing it to some customers.,There is a man with a huge TV controller.
19a541ca87aef6a37b83b2f738afc078,NYCC train 19a541ca87aef6a37b83b2f738afc078,"It's our new interactive TV. When he's done, I'm having an appendectomy on ‘General Hospital.’","Oh, for Crissake, Harold, just go to Canada with your buddies and forget about Mother's funeral.",Joke A,official_winner,A hunter is sitting on the chair pointing his rifle at the TV. The TV has a moose on it. A couple of women stare at him.,"The hunter is going to shoot the moose on TV, which isn't real."
eaf7514ef9b93383db63bb69510833c9,NYCC train eaf7514ef9b93383db63bb69510833c9,"I'll take it from here, Marlowe.",We didn't sign the privacy agreement.,Joke A,official_winner,A mysterious looking guy in a trenchcoat and fedora is laying in bed with a couple. the couple seems to ignore the stranger as they are having a conversation.,People do not wear a trenchcoat and hate to lay down with a couple in their bedroom.
db48210a3cf87bf5ae2825afb06e7f03,NYCC train db48210a3cf87bf5ae2825afb06e7f03,"Don't bring a camera, you said. Just enjoy the experience, you said.","Nope, he is not the least interested in coming to work for Trump.",Joke A,crowd_winner,Two people are climbing up a snowy mountain. A yeti is walking away from them.,"Yetis don't actually exist, so it shouldn't be present."
139e5832768ac869767fb42498ce5744,NYCC train 139e5832768ac869767fb42498ce5744,Compliments of your ex.,Room for tuba?,Joke A,official_winner,A couple is eating at a restaurant. The waiter is playing a giant tuba.,"Usually it would be a violin or a stringed instrument a waiter would play, not a big farty tuba."
c4e51ea3041f81484a1a8a7ec39ba30c,NYCC train c4e51ea3041f81484a1a8a7ec39ba30c,"Well, this is just great. The Joker is probably halfway to Brooklyn on the L by now.","I'm telling you, you can't beat the market, but where's the sin in trying.",Joke A,official_winner,A businessman and Batman are in a subway. The businessman is reading the paper and Batman is speaking to him.,There is Batman in the subway or someone dressed like him.
a77cf365333467d4155cd126fd6f5459,NYCC train a77cf365333467d4155cd126fd6f5459,Things have changed since you went to sleep two years ago,Your 3 o'clock is waiting behind that tree. Shall I send him in?,Joke B,crowd_winner,A person is working outside with a desk in the middle of the sidewalk. People walk around to pass them as they are wearing masks.,The person with the desk is causing an obstruction on the sidewalk. People also don't usually work on the sidewalk.
77c737018964f762a70a4ff0bf557324,NYCC train 77c737018964f762a70a4ff0bf557324,I can get over 100 channels. How about you?,Stay still. They'll never find us.,Joke B,official_winner,"There are two dogs facing each other each with their own ""Elizabethan collar"" or protective cone. The cones are touching each other so that the dogs heads are completely hidden.",It is unusual for dogs to act this way.
ab88862786656fdb92017892d48e61ee,NYCC train ab88862786656fdb92017892d48e61ee,"If you were on time, it wouldn't be this long.",I never had this problem with Rapinzel.,Joke A,official_winner,A man is trying to rescue Rapunzel from a tower. Her hair is so long and thick it has trapped him.,Rapunzel's hair is thicker and longer than is usually described.
a5296babbc250dac1c9e6ad2eb8d09ef,NYCC train a5296babbc250dac1c9e6ad2eb8d09ef,And we always thought the Chinese were inscrutable.,How long have you been in your current position?,Joke B,official_winner,A man is in an office behind a desk. He is addressing the Sphinx.,The Sphinx somehow fits inside this office.
4750e9e71c7f1e0c625b2828925b5295,NYCC train 4750e9e71c7f1e0c625b2828925b5295,We voted against bored meetings.,This little piggy owns the market.,Joke B,official_winner,"Two pigs are eating out of a trough. Another pig is also eating, but is clearly a piggy bank.","There is a piggy bank eating, which is not possible."
ff94f486ee87994dd8e521a7c02e08bc,NYCC train ff94f486ee87994dd8e521a7c02e08bc,I'm hoping that it will distract my employees from this year's bonus.,I couldn't find a real naked woman to ride with me in the H.O.V. lane.,Joke B,official_winner,A man is carrying a sex doll to work. The other man looks shocked.,Sex dolls are not appropriate in a business setting.
5aa1f94d3b14dc8c02733552da6234f0,NYCC train 5aa1f94d3b14dc8c02733552da6234f0,"So, where do you see yourself in 5,000 years?",The rules say I have three tries to reset my password.,Joke A,official_winner,A man is in an office behind a desk. He is addressing the Sphinx.,The Sphinx somehow fits inside this office.
7ff5388ee19c1ebaebf4e9f54c1f351a,NYCC train 7ff5388ee19c1ebaebf4e9f54c1f351a,Now I know why she calls him Hun.,The third usher fell out of the boat,Joke A,crowd_winner,A wedding is going on. It is between some Vikings wearing armor and carrying swords and spears. The bridesmaids are chatting about it.,There are Vikings getting married. Vikings did not have Christian weddings.
a3a9553867ca10b72acf218985ec7028,NYCC train a3a9553867ca10b72acf218985ec7028,"As long as it has 4 wheels, 2 headlights and 1 steering wheel, we're happy.",Congratulations! Don't you wish they all came with an instruction manual.,Joke A,official_winner,A woman is in the hospital. Some surgeons hand a toy car to her. She is very happy.,"The surgeons are giving a toy car to a grown woman. Kids like toy cars, not adults."
4062765c6d6606d6a7f40a562b0fdbdc,NYCC train 4062765c6d6606d6a7f40a562b0fdbdc,All he needs now is a Greek sculptor.,Can you tell it's a knockoff?,Joke B,official_winner,Two women are sitting on a couch in the living room watching a naked man standing in front of them. He looks like he's bowling with a plate.,"It is strange that everyone is dressed except the man. His posture is also strange, since the women seem to be watching him with having tea."
610cb9d216ea34bbf8e663df206e12cc,NYCC train 610cb9d216ea34bbf8e663df206e12cc,She's having trouble molting.,I switched from Pantene to Dove,Joke B,crowd_winner,"Two men stand facing each other with a barber chair in between them.  One man has a bird in his hair, while the other is holding scissors",It is unusual to see birds nesting in people's hair
bc691c4387f38f2772bc3a46e6da5958,NYCC train bc691c4387f38f2772bc3a46e6da5958,"By golly, Detroit is back!",Cherries are optional.,Joke A,official_winner,"Several cars appear on a factory belt, with a giant tube appearing to squirt a foamy topping on them.  Two people overlook the process from a nearby catwalk",It's unusual to see tubes squirting foamy substances on top of cars in a factory
e5aeecbf0c843141b5ee90b1f62991e5,NYCC train e5aeecbf0c843141b5ee90b1f62991e5,"These are required, sir. Other people do have to testify after you.","If your shorts are off, why is your phone still vibrating?",Joke A,official_winner,"Inside a courtroom, a man is in a hot tub with a bottle of beer in his hand. A lawyer is holding bathing shorts as the man looks embarrassed.",It is unusual for someone to be in a hottub during a trial. the witness usually sits with a suit on.
90d04e5731d7d827f8da4f2a94ef0036,NYCC train 90d04e5731d7d827f8da4f2a94ef0036,"Of all the china shops in all the towns in all the world, he walks into mine.","Once I clarified what ""break time"" meant we haven't had any issues.",Joke B,crowd_winner,A bull is in a China shop and is inspecting some cup. A woman looks on as do two other people.,There is a bull in a China shop that is the shop owner. That's impossible.
2f2892343c4932ac3fbc9674cdd9381c,NYCC train 2f2892343c4932ac3fbc9674cdd9381c,Where the hell is the cartoon??,Do you seek alignment?,Joke B,official_winner,An explorer is talking to a hermit outside of a cave. The hermit is sitting on a green ball.,It is an odd choice of chair for a hermit.
67b015e0ebe11b9d4d9bf740d37e9e94,NYCC train 67b015e0ebe11b9d4d9bf740d37e9e94,I hate carpooling,I've found another man.,Joke B,official_winner,A woman is carrying a man like a statue. The man is dressed as a businessman. Both are dressed for work.,The woman is carrying a full size man. She could not do that in real life.
7d132d4b3ac8da635991205e49e27bc4,NYCC train 7d132d4b3ac8da635991205e49e27bc4,So much for homeland security...,Every time I wash the car.,Joke B,official_winner,A couple is in a house looking outside. Safes are falling from the sky all around them.,There are safes falling from the sky.
ef1186c8669d864d604f712bee0a64fd,NYCC train ef1186c8669d864d604f712bee0a64fd,It's only fair. He has a man cave.,Feeling ambitious? I dropped the remote.,Joke A,official_winner,A couple is sitting on a sofa but the sofa is in a bird's nest. They do not look bothered by their location. There is a ladder behind them.,People don't find it comfortable to live in a bird's nest. These people are also very small in comparison to the nest which are typically smaller than humans.
2dbe2a445c43869153f4856258959a65,NYCC train 2dbe2a445c43869153f4856258959a65,Bad chair day.,That'll be two bits.,Joke A,official_winner,Some men are in a barber shop. There is a large hole in the ceiling and a spring where the barber's chair should be.,Presumably the spring shot the barber's chair up through the ceiling judging by the hole and the spring.
92eb14365878140b4727a02d5ffd4b67,NYCC train 92eb14365878140b4727a02d5ffd4b67,I just feel like there’s no light at the end of the tunnel.,...and then she backed away and hooked up with Thomas.,Joke A,official_winner,A train is sitting at a bar. There is a regular man beside him.,There is a train man that is in the bar.
539db52e5004308360a1842263e73cd2,NYCC train 539db52e5004308360a1842263e73cd2,I'm going to let you off with just a math lecture this time.,Don't go away yet ... I still have to give you our privacy statement.,Joke A,official_winner,A cop stopped a man in a car. He is pointing to a sign with a math equation on it.,There is a sign in the middle of nowhere with math equations on it. The policeman is pointing toward it.
91cd89307ab78b4f79b5ca787fa90530,NYCC train 91cd89307ab78b4f79b5ca787fa90530,"Remember the Alamo—now, that was a foreclosure!",I dress like this to hide my baldness.,Joke A,official_winner,"A business man is walking down the street. Next to him is another man, also with a briefcase.",The second man is dressed like Pancho Villo.
760264fa7f44c2f825a8e37fbe6f3835,NYCC train 760264fa7f44c2f825a8e37fbe6f3835,Sorry about the wait.,My name is Morpheus.,Joke A,official_winner,There is a man at a desk writing something down. Another man is laying behind him in a coffin.,A dead man would be out of place unless this is a mortuary.
5110384f2a0e3072f8f82ff3f4451e7a,NYCC train 5110384f2a0e3072f8f82ff3f4451e7a,Can we stop talking about him?,It's your metaphor. You feed it!,Joke B,official_winner,A man and a woman are facing each other in a chair. An elephant is in the room next to them.,Elephants don't live inside houses.
4156764f63b01b483838da32d4dc8c67,NYCC train 4156764f63b01b483838da32d4dc8c67,Mom's moving in.,Try counting rats.,Joke B,official_winner,There is a married couple in bed in a bedroom which is actually a cubicle in a larger room. There are multiple cubicles attached to their cubicle in the background. The woman is reading a book and is talking to the man.,It is unusual for a cubicle to be used as a bedroom.
8523f45dadff8c2151f247acb6657db1,NYCC train 8523f45dadff8c2151f247acb6657db1,When I retired from Google they let me keep my chair.,"It may look ridiculous, but it helps me address core issues.",Joke A,crowd_winner,An explorer is talking to a hermit outside of a cave. The hermit is sitting on a green ball.,It is an odd choice of chair for a hermit.
3c0113eca5be419a190e5dc2ea7ae8fc,NYCC train 3c0113eca5be419a190e5dc2ea7ae8fc,"Yes, it's hot. But a ceiling fan will only make things worse.","Billy's teacher called, Billy was caught necking during recess.",Joke A,crowd_winner,There are two giraffes in the living room of a house. One giraffe is standing and talking to the other giraffe who is laying across an entire couch. The giraffe on the couch is possibly watching a TV which is seen in the foreground.,It is unusual for animals to be acting like people in the living room of a house.
518f4aa8e48573380aa70ffe7130426e,NYCC train 518f4aa8e48573380aa70ffe7130426e,Keep climbing—you've only reached middle management.,Talk about a year of unprecedented growth.,Joke A,official_winner,On the left we see a giant beanstalk where Jack (Jack and the Beanstalk) has climbed up and is now eyeing to the right where a board meeting is taking place on top of a cloud. There is a man with a chart behind a conference table surrounded by people in suits. One woman is looking back at Jack.,It is unusual for a board meeting to be taking place on top of a cloud.
8ce40de8abf6cef890ad502b95107e0e,NYCC train 8ce40de8abf6cef890ad502b95107e0e,"This is more exciting than I thought it would be, Dad.",I have a theory on why we keep losing our bait.,Joke B,official_winner,"Two men are ice fishing in the Arctic. There are a number of holes, with fins sticking out of them.",The number of sharks under the ice is unusual.
9545a6a831c909d31ffb5d43225fdb6d,NYCC train 9545a6a831c909d31ffb5d43225fdb6d,I don't care how many it sleeps.,We get it. You're straight.,Joke B,official_winner,A man is carrying a rug into a dance studio. He is having a conversation with the instructor.,Nothing is really out of place in this image.
ab42efc2697b656d184141d9408a8d65,NYCC train ab42efc2697b656d184141d9408a8d65,"I'll admit he may look ugly, but his resume is beautiful.","Publicly, we're still saying there are no side effects.",Joke B,crowd_winner,A group of what appear to be aliens are sitting around a long table with scratch marks on it. A man wearing a suit and with a friendly smile on his face is standing at the corner of the table.,"It's odd to see aliens, since they don't exist.  Humans don't typically meet with aliens. Additionally, the man is over dressed, given everyone else is nude.  As some of the aliens are drooling, it's implied the man may become supper, in which case, most people don't find the thought of being someone's meal appealing."
d3c9e3e0f3d716b73098a915395ccec8,NYCC train d3c9e3e0f3d716b73098a915395ccec8,My company rehired me as an outside consultant.,"The hookers will arrive shortly, sir.",Joke A,crowd_winner,"A robed man opens the front door of his apartment to see a lot of the world going past him. Someone brought their desk out in front of his steps to work, and a lot of people are walking past his apartment.","Someone bringing out their work desk to work outside, let alone in front of someone's apartment, isn't right."
477db94da7166764989923e1ee3188c2,NYCC train 477db94da7166764989923e1ee3188c2,"It's our new interactive TV. When he's done, I'm having an appendectomy on ‘General Hospital.’","Oh, for Crissake, Harold, just go to Canada with your buddies and forget about Mother's funeral.",Joke A,official_winner,"Some women are coming into the house. A hunter is in the chair watching a moose on TV, and pointing his gun at it.",The hunter is in full gear and looking to shoot at the TV.
007d83b2e44503f434d4359e771e09da,NYCC train 007d83b2e44503f434d4359e771e09da,Let me just run this by the panel.,Any family history with death?,Joke B,official_winner,"A man is lying in a wheeled coffin on a tiled floor in a doctor's office. A doctor is sitting at the desk, writing on a clipboard.",It's unusual for corpses to visit doctors.
c4f4299e954156eef3bdd27f6259065f,NYCC train c4f4299e954156eef3bdd27f6259065f,Does this make me the trophy's wife?,Trump still lost the election.,Joke A,crowd_winner,A mounted lion's head puts a man's head in its mouth. The man was carrying it and the lion decided to eat the man.,A mounted lion's head would be a dead lion.
